,art_0001,art_0005,art_0010,art_0014,art_0019,art_0024,art_0028,art_0033,art_0038,art_0042,art_0047,art_0052,art_0056,art_0061,art_0066,art_0070,art_0075,art_0080,art_0084,art_0089,art_0094,art_0098,art_0103,art_0108,art_0112,art_0117,art_0122,art_0126,art_0131,art_0135,art_0140,art_0145,art_0149,art_0154,art_0159,art_0163,art_0168,art_0173,art_0177,art_0182,art_0187,art_0191,art_0196,art_0201,art_0205,art_0210,art_0215,art_0219,art_0224,art_0229,art_0233,art_0238,art_0243,art_0247,art_0252,art_0257,art_0261,art_0266,art_0270,art_0275,art_0280,art_0284,art_0289,art_0294,art_0298,art_0303,art_0308,art_0312,art_0317,art_0322,art_0326,art_0331,art_0336,art_0340,art_0345,art_0350,art_0354,art_0359,art_0364,art_0368,art_0373,art_0378,art_0382,art_0387,art_0392,art_0396,art_0401,art_0405,art_0410,art_0415,art_0419,art_0424,art_0429,art_0433,art_0438,art_0443,art_0447,art_0452,art_0457,art_0461,art_0466,art_0471,art_0475,art_0480,art_0485,art_0489,art_0494,art_0499,art_0503,art_0508,art_0513,art_0517,art_0522,art_0527,art_0531,art_0536,art_0540,art_0545,art_0550,art_0554,art_0559,art_0564,art_0568,art_0573,art_0578,art_0582,art_0587,art_0592,art_0596,art_0601,art_0606,art_0610,art_0615,art_0620,art_0624,art_0629,art_0634,art_0638,art_0643,art_0648,art_0652,art_0657,art_0662,art_0666,art_0671,art_0675,art_0680,art_0685,art_0689,art_0694,art_0699,art_0703,art_0708,art_0713,art_0717,art_0722,art_0727,art_0731,art_0736,art_0741,art_0745,art_0750,art_0755,art_0759,art_0764,art_0769,art_0773,art_0778,art_0783,art_0787,art_0792,art_0797,art_0801,art_0806,art_0810,art_0815,art_0820,art_0824,art_0829,art_0834,art_0838,art_0843,art_0848,art_0852,art_0857,art_0862,art_0866,art_0871,art_0876,art_0880,art_0885,art_0890,art_0894,art_0899,art_0904,art_0908,art_0913,art_0918,art_0922,art_0927
art_0001,1.000000,0.674996,0.595091,0.609102,0.657078,0.543007,0.687526,0.601649,0.541170,0.534668,0.526145,0.584270,0.510008,0.497656,0.290286,0.564330,0.434772,0.455750,0.533306,0.604325,0.558080,0.603196,0.668168,0.572868,0.636683,0.652012,0.555078,0.642690,0.480657,0.509930,0.541890,0.507585,0.538575,0.555742,0.556919,0.611496,0.484198,0.570781,0.569744,0.617507,0.534458,0.604463,0.465524,0.624652,0.546323,0.612017,0.487166,0.572721,0.558460,0.536592,0.503910,0.443361,0.443093,0.426922,0.443045,0.520652,0.481181,0.556764,0.621215,0.348305,0.473390,0.547094,0.622976,0.540910,0.494917,0.511108,0.547736,0.519679,0.432669,0.519691,0.626308,0.523452,0.590558,0.543837,0.622272,0.546703,0.526353,0.447158,0.524775,0.602555,0.658039,0.609079,0.627344,0.382953,0.558359,0.681884,0.505697,0.651602,0.543290,0.610888,0.483949,0.604239,0.642265,0.547867,0.633107,0.709619,0.391213,0.548803,0.509367,0.513316,0.547211,0.610750,0.585917,0.587473,0.552946,0.625349,0.387037,0.565835,0.569329,0.690779,0.483051,0.550716,0.624922,0.575002,0.592314,0.635006,0.611848,0.445429,0.428839,0.580355,0.695890,0.590261,0.558933,0.587108,0.565530,0.551838,0.604882,0.502846,0.537466,0.598166,0.535008,0.583318,0.543030,0.638807,0.518330,0.625848,0.680465,0.613534,0.696412,0.614130,0.642747,0.579907,0.518811,0.609360,0.592577,0.671968,0.658258,0.698801,0.519083,0.465726,0.560611,0.455847,0.500755,0.618384,0.602545,0.617362,0.569592,0.338385,0.652272,0.361509,0.571128,0.520231,0.431742,0.601803,0.575342,0.636864,0.510970,0.524460,0.584422,0.580462,0.448444,0.603313,0.540886,0.539029,0.471115,0.546123,0.404441,0.568787,0.495928,0.619312,0.665515,0.608447,0.553108,0.511601,0.634483,0.487869,0.528256,0.415326,0.585747,0.382508,0.657327,0.524390,0.543817,0.678553,0.663619,0.497442,0.545056,0.539874,0.615783,0.647414
art_0005,0.674996,1.000000,0.639218,0.678230,0.636383,0.627750,0.802189,0.581711,0.446165,0.509533,0.587423,0.634613,0.435113,0.487200,0.337760,0.513678,0.492196,0.438019,0.481010,0.558621,0.645255,0.638598,0.675818,0.614158,0.628311,0.667166,0.595463,0.649153,0.486644,0.451165,0.446688,0.557465,0.419507,0.507802,0.470103,0.668013,0.453493,0.648825,0.530239,0.582453,0.505908,0.681896,0.450826,0.654308,0.548604,0.713008,0.405123,0.555542,0.586074,0.529844,0.437286,0.490649,0.431830,0.384925,0.362026,0.540750,0.452294,0.516842,0.614338,0.366449,0.464656,0.559353,0.640414,0.467751,0.528392,0.581087,0.564327,0.451869,0.355617,0.484597,0.581245,0.465436,0.577400,0.560158,0.667360,0.430732,0.536809,0.535541,0.509844,0.542939,0.575416,0.722490,0.692298,0.380211,0.543984,0.669427,0.453964,0.690164,0.490522,0.588161,0.475421,0.621908,0.689005,0.483367,0.525550,0.713775,0.402930,0.582638,0.517457,0.577158,0.578226,0.665259,0.547797,0.519026,0.598935,0.649182,0.380029,0.505784,0.593933,0.669303,0.432711,0.702219,0.658199,0.464197,0.555223,0.668391,0.653784,0.444377,0.526238,0.654078,0.749258,0.717932,0.468361,0.611541,0.606081,0.563369,0.687046,0.477236,0.485524,0.641947,0.655506,0.505538,0.563423,0.641328,0.536171,0.597447,0.771926,0.546042,0.644667,0.652915,0.717388,0.606115,0.556741,0.652871,0.590215,0.608660,0.684135,0.674023,0.469137,0.520796,0.480706,0.455890,0.541723,0.610220,0.564521,0.612948,0.519483,0.340743,0.620988,0.366674,0.522501,0.460858,0.487797,0.653367,0.575003,0.699050,0.509459,0.480966,0.659559,0.588229,0.465706,0.704597,0.525119,0.618027,0.364929,0.647021,0.389347,0.588731,0.502512,0.558537,0.632345,0.626737,0.595814,0.505252,0.685686,0.481822,0.504249,0.423110,0.571679,0.419632,0.644124,0.460948,0.523026,0.703163,0.685934,0.545086,0.621983,0.507421,0.632949,0.702980
art_0010,0.595091,0.639218,1.000000,0.607045,0.558033,0.559366,0.628974,0.696046,0.572815,0.589417,0.593359,0.619495,0.468481,0.565821,0.417478,0.518427,0.487442,0.521711,0.554655,0.528271,0.604004,0.643379,0.662126,0.596200,0.669611,0.580203,0.582836,0.573717,0.558207,0.506294,0.594497,0.598904,0.457954,0.572215,0.458437,0.593805,0.528814,0.670910,0.617621,0.572817,0.593480,0.566937,0.546902,0.587971,0.632581,0.734411,0.437468,0.550647,0.500371,0.611706,0.526458,0.422680,0.454305,0.562251,0.458955,0.606367,0.534759,0.552170,0.596413,0.470065,0.532092,0.482723,0.602646,0.530612,0.622931,0.636376,0.592391,0.505625,0.420003,0.630646,0.544183,0.517260,0.705685,0.590903,0.653736,0.530562,0.612192,0.546575,0.575857,0.554295,0.618390,0.625123,0.676656,0.420972,0.572829,0.590002,0.561651,0.647859,0.570968,0.533555,0.609375,0.641928,0.673910,0.515197,0.583497,0.679453,0.469369,0.547546,0.617387,0.522296,0.630623,0.647342,0.581798,0.588458,0.571511,0.550645,0.384067,0.485491,0.547542,0.673088,0.446178,0.606864,0.620797,0.611496,0.574480,0.678508,0.531207,0.577402,0.409902,0.534236,0.643096,0.594780,0.472555,0.531974,0.594438,0.533822,0.611966,0.530208,0.525254,0.643781,0.538905,0.549230,0.594273,0.598716,0.581604,0.560342,0.688415,0.622691,0.612723,0.561605,0.615276,0.553712,0.666609,0.603197,0.645923,0.648847,0.612091,0.625650,0.542990,0.663140,0.554605,0.526966,0.580105,0.640720,0.547306,0.525357,0.619667,0.447372,0.634753,0.396067,0.551051,0.486461,0.640562,0.609973,0.642865,0.576311,0.607381,0.511002,0.634433,0.597582,0.546454,0.546970,0.582523,0.559434,0.454406,0.536376,0.466842,0.498861,0.578758,0.578096,0.657561,0.617318,0.561278,0.599482,0.631681,0.608289,0.561075,0.453512,0.589022,0.411220,0.612494,0.602016,0.546241,0.649864,0.633407,0.568912,0.599600,0.586451,0.544170,0.626241
art_0014,0.609102,0.678230,0.607045,1.000000,0.602372,0.697683,0.667548,0.573504,0.553913,0.669431,0.488599,0.734573,0.533808,0.639946,0.438987,0.565295,0.651830,0.580505,0.502699,0.613372,0.719393,0.767889,0.683366,0.584800,0.747923,0.623037,0.714909,0.785004,0.615910,0.563643,0.594293,0.642562,0.562484,0.582620,0.631000,0.768405,0.628415,0.677817,0.730438,0.649210,0.651695,0.811787,0.608335,0.731644,0.628047,0.665448,0.458728,0.734993,0.626512,0.547890,0.601736,0.631593,0.636844,0.522608,0.549323,0.687173,0.575158,0.672031,0.804328,0.476964,0.532216,0.670573,0.585436,0.555403,0.550005,0.639015,0.636364,0.545604,0.480129,0.611341,0.623733,0.660383,0.623000,0.576730,0.677460,0.536530,0.651260,0.510946,0.621624,0.538526,0.794984,0.683397,0.622169,0.497454,0.701482,0.672156,0.635257,0.687270,0.535188,0.728904,0.581380,0.666630,0.637071,0.401768,0.611406,0.728508,0.573040,0.784308,0.681546,0.719478,0.605958,0.786811,0.659117,0.717684,0.750615,0.750349,0.552653,0.647466,0.733654,0.678685,0.567199,0.646815,0.662214,0.604017,0.686227,0.684311,0.827307,0.646969,0.574689,0.724842,0.645456,0.679503,0.662750,0.767119,0.658049,0.645334,0.700355,0.476220,0.676951,0.608724,0.767466,0.657913,0.581525,0.563932,0.781922,0.679540,0.756387,0.777282,0.693999,0.763557,0.665902,0.656400,0.556903,0.690759,0.728772,0.748090,0.770580,0.693636,0.623281,0.540982,0.670447,0.600511,0.614302,0.723821,0.710901,0.576899,0.643957,0.511114,0.701270,0.511677,0.694668,0.599370,0.411175,0.732226,0.629647,0.809647,0.708673,0.641799,0.656618,0.763015,0.627325,0.739421,0.607666,0.660858,0.485282,0.715483,0.538624,0.715996,0.606272,0.707862,0.732007,0.763263,0.681087,0.615486,0.777142,0.707223,0.645617,0.592556,0.714975,0.411323,0.621579,0.577702,0.651362,0.777614,0.826455,0.563819,0.629565,0.605417,0.815639,0.727449
art_0019,0.657078,0.636383,0.558033,0.602372,1.000000,0.541991,0.595522,0.577144,0.527948,0.503603,0.605622,0.558880,0.488153,0.512956,0.375483,0.519999,0.515187,0.432155,0.577267,0.465853,0.586719,0.563247,0.656803,0.570239,0.595652,0.601976,0.526292,0.575440,0.484611,0.456266,0.548403,0.538753,0.445911,0.470521,0.438314,0.507526,0.491268,0.504767,0.460122,0.586526,0.483819,0.569890,0.493327,0.549088,0.629707,0.571195,0.375884,0.413520,0.498878,0.558434,0.522576,0.444341,0.506871,0.413043,0.411891,0.623301,0.466877,0.478761,0.535233,0.500198,0.524136,0.502442,0.551797,0.514433,0.437579,0.618251,0.514755,0.463780,0.432587,0.476890,0.554365,0.495909,0.552932,0.476762,0.492956,0.462104,0.514806,0.498773,0.528783,0.642599,0.567228,0.608378,0.549382,0.384149,0.443731,0.537558,0.510080,0.629139,0.497079,0.466473,0.485737,0.554588,0.586242,0.556756,0.586220,0.640944,0.424461,0.568269,0.500855,0.523450,0.601686,0.606790,0.525868,0.511134,0.558518,0.500650,0.359646,0.518271,0.521303,0.576661,0.448606,0.557140,0.625207,0.497573,0.459879,0.573611,0.568859,0.441627,0.441388,0.488881,0.634847,0.593275,0.446098,0.470828,0.547225,0.498639,0.582509,0.480442,0.529758,0.604416,0.539794,0.474331,0.495277,0.566016,0.489003,0.604685,0.676750,0.549450,0.525804,0.551288,0.566900,0.504112,0.500687,0.581720,0.531251,0.549923,0.602657,0.534531,0.489957,0.567369,0.487410,0.456008,0.564034,0.590143,0.498434,0.514295,0.475621,0.388907,0.572407,0.400866,0.587542,0.439820,0.419766,0.515401,0.537030,0.560659,0.531552,0.477411,0.608383,0.538464,0.487206,0.555271,0.459710,0.553856,0.405172,0.524957,0.437118,0.428387,0.524217,0.556502,0.558273,0.565417,0.576930,0.538728,0.595170,0.494594,0.446566,0.358741,0.535158,0.427214,0.615569,0.415944,0.543060,0.588175,0.574704,0.495909,0.440332,0.560404,0.531811,0.578758
art_0024,0.543007,0.627750,0.559366,0.697683,0.541991,1.000000,0.634773,0.525719,0.427041,0.522361,0.435975,0.721553,0.607301,0.581490,0.472924,0.510268,0.558260,0.555274,0.450233,0.521325,0.665148,0.635412,0.611742,0.480244,0.681387,0.591130,0.612271,0.620187,0.523182,0.487536,0.526002,0.631824,0.501110,0.563531,0.506329,0.698208,0.580106,0.619565,0.544437,0.554436,0.587266,0.694699,0.630548,0.691997,0.512866,0.653372,0.336371,0.681746,0.656127,0.507404,0.524345,0.510775,0.516381,0.499317,0.565930,0.627122,0.544403,0.553327,0.692117,0.460062,0.471683,0.610724,0.541594,0.512363,0.599405,0.558391,0.614560,0.623985,0.549664,0.596807,0.644412,0.575900,0.541532,0.572898,0.620213,0.435331,0.591422,0.594166,0.564981,0.497595,0.655864,0.644092,0.612104,0.471107,0.649078,0.601173,0.588796,0.606740,0.537752,0.657013,0.490540,0.607373,0.615475,0.390346,0.466060,0.648891,0.599391,0.673602,0.529949,0.597452,0.548791,0.694119,0.566051,0.596152,0.668063,0.636200,0.402684,0.661143,0.673451,0.615094,0.523498,0.666897,0.589176,0.547362,0.647030,0.622839,0.699735,0.562168,0.628802,0.654724,0.588705,0.713722,0.537338,0.681278,0.528274,0.569687,0.673084,0.487459,0.508371,0.533541,0.662948,0.498366,0.509707,0.516170,0.593282,0.615714,0.682976,0.577993,0.523375,0.701137,0.629300,0.619942,0.544264,0.544705,0.668693,0.622536,0.657616,0.615825,0.536275,0.548540,0.545135,0.604007,0.558549,0.645051,0.608237,0.595879,0.541098,0.522437,0.606458,0.479598,0.548324,0.447217,0.427537,0.611127,0.551301,0.767368,0.574168,0.497458,0.636259,0.739217,0.597428,0.681644,0.532170,0.676482,0.409296,0.649588,0.557407,0.533583,0.536497,0.586608,0.627641,0.639836,0.683668,0.529115,0.702407,0.574348,0.544885,0.536068,0.574658,0.502141,0.531652,0.499632,0.576247,0.657212,0.720349,0.555040,0.573952,0.595737,0.685130,0.698475
art_0028,0.687526,0.802189,0.628974,0.667548,0.595522,0.634773,1.000000,0.578186,0.470348,0.547537,0.619050,0.649846,0.468820,0.537821,0.315192,0.521593,0.491909,0.480916,0.497893,0.561280,0.638445,0.700615,0.695805,0.584905,0.689723,0.678111,0.632902,0.676410,0.554696,0.476988,0.540925,0.633311,0.451937,0.572877,0.526628,0.670306,0.458232,0.658115,0.563715,0.575102,0.526993,0.665250,0.480719,0.703454,0.589742,0.742795,0.423517,0.587821,0.553126,0.561709,0.460999,0.481124,0.467479,0.422342,0.426753,0.572956,0.489114,0.603908,0.628739,0.335189,0.401139,0.580008,0.665481,0.474703,0.541661,0.561113,0.589837,0.492844,0.368242,0.515426,0.609029,0.544085,0.621291,0.599729,0.676542,0.455542,0.551768,0.525052,0.559189,0.535768,0.679091,0.678865,0.673467,0.434112,0.584474,0.648221,0.510199,0.724355,0.538692,0.613243,0.495374,0.652384,0.714964,0.494411,0.538455,0.756743,0.416946,0.609130,0.573805,0.646886,0.640918,0.679665,0.599571,0.598353,0.614672,0.695737,0.376682,0.541628,0.613697,0.749289,0.422837,0.659864,0.651174,0.543010,0.605505,0.704615,0.645675,0.469189,0.575489,0.675246,0.765140,0.785490,0.541755,0.582483,0.596167,0.586248,0.682745,0.500252,0.507211,0.670435,0.645037,0.591113,0.586886,0.699462,0.586720,0.628786,0.768876,0.629431,0.649412,0.674771,0.709247,0.596061,0.593464,0.635676,0.618130,0.670755,0.726326,0.669270,0.530602,0.505087,0.544636,0.454494,0.563861,0.668096,0.581000,0.632422,0.589892,0.367415,0.635655,0.411028,0.563752,0.454483,0.457248,0.652569,0.593730,0.686854,0.561618,0.513903,0.678632,0.619193,0.497110,0.697716,0.506075,0.569488,0.372539,0.630513,0.441132,0.620871,0.540295,0.601454,0.690754,0.651254,0.617572,0.533350,0.685216,0.527342,0.540022,0.477716,0.616643,0.440542,0.664515,0.480319,0.545127,0.764670,0.686943,0.572524,0.630804,0.579232,0.659285,0.724394
art_0033,0.601649,0.581711,0.696046,0.573504,0.577144,0.525719,0.578186,1.000000,0.640468,0.647103,0.603801,0.604553,0.542647,0.567720,0.361441,0.617712,0.379245,0.572556,0.561424,0.586415,0.569173,0.636345,0.655419,0.587308,0.619437,0.646152,0.553957,0.583840,0.580127,0.586637,0.581372,0.571012,0.455191,0.614798,0.462203,0.609547,0.577834,0.581448,0.530040,0.632989,0.510402,0.546954,0.528952,0.556635,0.607313,0.644766,0.479468,0.477904,0.450467,0.587048,0.505963,0.378303,0.458155,0.599539,0.434846,0.560491,0.564731,0.600222,0.558990,0.485346,0.545100,0.429071,0.598593,0.457058,0.586570,0.685260,0.622308,0.555937,0.414963,0.587934,0.586365,0.494358,0.714204,0.589976,0.555734,0.557528,0.659621,0.535621,0.552916,0.579937,0.576578,0.622689,0.663706,0.466901,0.545424,0.593974,0.554399,0.622284,0.565851,0.498693,0.585476,0.587385,0.661783,0.657022,0.635955,0.627848,0.526686,0.519676,0.664268,0.500950,0.625505,0.597749,0.568458,0.575048,0.575014,0.539288,0.434125,0.533755,0.523240,0.650285,0.457778,0.600721,0.555103,0.637572,0.611315,0.626423,0.501122,0.576632,0.416800,0.515615,0.643446,0.559616,0.584094,0.553701,0.641736,0.575232,0.584220,0.597371,0.572388,0.572761,0.480474,0.533892,0.586008,0.650694,0.530680,0.600727,0.619149,0.604462,0.628579,0.550787,0.564358,0.576785,0.601741,0.658325,0.645873,0.633231,0.584761,0.604185,0.560477,0.686797,0.549861,0.506941,0.586596,0.578151,0.569281,0.509484,0.625412,0.411548,0.661292,0.423947,0.594636,0.520772,0.655857,0.584840,0.705423,0.540399,0.599857,0.543818,0.587922,0.573646,0.545304,0.539449,0.625829,0.539025,0.492929,0.501883,0.446023,0.490392,0.588400,0.533796,0.580645,0.585344,0.560623,0.692611,0.598610,0.546444,0.535751,0.480561,0.619638,0.436892,0.606603,0.630409,0.552113,0.630589,0.596460,0.584608,0.604663,0.560647,0.526072,0.565190
art_0038,0.541170,0.446165,0.572815,0.553913,0.527948,0.427041,0.470348,0.640468,1.000000,0.589685,0.449085,0.502456,0.453289,0.616074,0.349329,0.553701,0.351879,0.491735,0.638719,0.516789,0.505489,0.549909,0.554593,0.459455,0.589731,0.575648,0.533214,0.496134,0.579682,0.593519,0.571527,0.465845,0.494576,0.598568,0.397218,0.497875,0.501517,0.442218,0.493682,0.579705,0.505775,0.435122,0.453036,0.470738,0.632015,0.540387,0.409347,0.452561,0.425197,0.583542,0.478128,0.340448,0.450243,0.557156,0.394702,0.555634,0.470868,0.442838,0.483441,0.482557,0.547140,0.320155,0.575664,0.423103,0.557496,0.686055,0.507328,0.523597,0.380061,0.577246,0.511961,0.504444,0.638392,0.586361,0.407723,0.487072,0.524189,0.469378,0.535900,0.535848,0.572981,0.571820,0.488648,0.445894,0.519856,0.538898,0.526125,0.535744,0.558641,0.420485,0.526045,0.511924,0.535764,0.588249,0.682588,0.584119,0.381326,0.481684,0.607947,0.406279,0.592092,0.585653,0.522856,0.534109,0.405755,0.450332,0.381964,0.437689,0.448737,0.571976,0.445415,0.473327,0.523113,0.587605,0.498775,0.510641,0.429442,0.486567,0.324925,0.436337,0.559416,0.458448,0.527915,0.472969,0.526603,0.467161,0.558618,0.517946,0.550466,0.615935,0.483473,0.456489,0.526154,0.508662,0.516219,0.566501,0.510860,0.579021,0.505858,0.444876,0.457015,0.389544,0.517225,0.508643,0.621996,0.621946,0.519795,0.551891,0.502504,0.608163,0.541116,0.422739,0.564089,0.512685,0.474991,0.496650,0.596482,0.353691,0.666153,0.465701,0.573370,0.451912,0.521281,0.497946,0.581230,0.435492,0.500039,0.420749,0.516473,0.489592,0.492323,0.407738,0.506736,0.506445,0.448944,0.383689,0.463474,0.352756,0.549818,0.440908,0.601535,0.563691,0.490712,0.669239,0.499475,0.530739,0.548974,0.427124,0.433618,0.367233,0.571349,0.592258,0.479566,0.448392,0.512682,0.531490,0.527900,0.504215,0.467278,0.428952
art_0042,0.534668,0.509533,0.589417,0.669431,0.503603,0.522361,0.547537,0.647103,0.589685,1.000000,0.539588,0.595882,0.517531,0.597953,0.406146,0.588519,0.557481,0.517316,0.567499,0.509816,0.651667,0.693637,0.598577,0.542153,0.715801,0.556058,0.597715,0.672555,0.664458,0.602250,0.645862,0.570874,0.568590,0.606499,0.553554,0.626719,0.573148,0.473224,0.615048,0.568898,0.645927,0.568400,0.520879,0.594381,0.651753,0.627198,0.505845,0.534850,0.481424,0.541420,0.544436,0.387106,0.556445,0.575568,0.429629,0.593017,0.669273,0.673474,0.586695,0.495378,0.525441,0.501327,0.574002,0.556495,0.499980,0.648447,0.666523,0.571373,0.510417,0.614125,0.539186,0.623947,0.636164,0.582843,0.541963,0.542812,0.692478,0.474897,0.702690,0.466512,0.715928,0.528508,0.571082,0.475947,0.509811,0.523661,0.605023,0.585811,0.473181,0.555439,0.639132,0.572147,0.554145,0.525558,0.643844,0.577931,0.522404,0.648913,0.735989,0.547597,0.641396,0.636579,0.599853,0.688154,0.628552,0.574652,0.517551,0.493839,0.592891,0.656716,0.572271,0.606859,0.634705,0.591695,0.620494,0.626557,0.592207,0.635911,0.398686,0.562404,0.635798,0.554454,0.617794,0.546978,0.689152,0.515343,0.613043,0.508860,0.642498,0.616885,0.610950,0.594381,0.586352,0.539597,0.625751,0.617729,0.622935,0.711361,0.620030,0.617118,0.459324,0.555178,0.547147,0.611105,0.642308,0.677810,0.601685,0.574005,0.662670,0.603351,0.701542,0.486749,0.545792,0.624621,0.623594,0.463355,0.666520,0.496786,0.686070,0.461574,0.661568,0.562614,0.494638,0.567432,0.653627,0.583145,0.692991,0.652391,0.544878,0.616695,0.688753,0.572368,0.604638,0.585570,0.568759,0.462072,0.550528,0.460584,0.677405,0.642346,0.686498,0.652140,0.550164,0.687620,0.638512,0.639897,0.652459,0.543119,0.679257,0.372757,0.609718,0.576411,0.633744,0.572567,0.647077,0.594872,0.545011,0.559753,0.621514,0.599389
art_0047,0.526145,0.587423,0.593359,0.488599,0.605622,0.435975,0.619050,0.603801,0.449085,0.539588,1.000000,0.530854,0.455158,0.542909,0.344643,0.506356,0.441005,0.467896,0.490467,0.485140,0.527044,0.588215,0.570546,0.475917,0.616571,0.553369,0.504452,0.506319,0.496895,0.489700,0.553155,0.492086,0.436616,0.533488,0.443245,0.491954,0.467530,0.485800,0.449114,0.521285,0.494238,0.554260,0.449730,0.564789,0.623000,0.616446,0.479013,0.412017,0.397220,0.532083,0.479408,0.318085,0.449087,0.431680,0.327276,0.517969,0.500212,0.564970,0.482066,0.396017,0.427549,0.446417,0.548810,0.476791,0.530505,0.573126,0.581600,0.509063,0.357883,0.518937,0.472646,0.472674,0.582895,0.553040,0.539685,0.485112,0.579935,0.498207,0.572410,0.526254,0.554283,0.531305,0.639084,0.379842,0.485476,0.483866,0.521875,0.611719,0.506749,0.461535,0.546568,0.521868,0.587890,0.526196,0.533380,0.507006,0.474506,0.521397,0.553993,0.490414,0.669016,0.547786,0.514586,0.514863,0.530825,0.511607,0.370016,0.440586,0.469387,0.571313,0.436474,0.539175,0.582909,0.608181,0.491101,0.598617,0.438145,0.491475,0.338030,0.480227,0.607828,0.544225,0.464365,0.467194,0.521038,0.496043,0.549466,0.546095,0.502742,0.599630,0.487221,0.565240,0.593261,0.596059,0.486074,0.541654,0.564289,0.534671,0.550794,0.495249,0.460598,0.482368,0.542290,0.528665,0.501304,0.596128,0.507283,0.553351,0.564103,0.563526,0.557264,0.487458,0.494287,0.521292,0.497842,0.478030,0.551190,0.364348,0.582700,0.363027,0.529386,0.419049,0.545509,0.505900,0.598673,0.489653,0.569762,0.516581,0.572122,0.539112,0.499524,0.565018,0.487062,0.446082,0.404293,0.430062,0.452982,0.407098,0.565046,0.478465,0.585804,0.535256,0.537180,0.522510,0.543722,0.502568,0.528613,0.466358,0.528380,0.360345,0.550328,0.523328,0.484986,0.583337,0.525179,0.574288,0.510031,0.566202,0.504785,0.581276
art_0052,0.584270,0.634613,0.619495,0.734573,0.558880,0.721553,0.649846,0.604553,0.502456,0.595882,0.530854,1.000000,0.544133,0.661990,0.547577,0.514820,0.577674,0.604865,0.535015,0.517397,0.677927,0.658692,0.676605,0.553599,0.755400,0.566340,0.600989,0.660922,0.539790,0.547678,0.636459,0.610617,0.541982,0.639509,0.626733,0.780571,0.614431,0.733421,0.573572,0.628549,0.611342,0.722916,0.641421,0.639256,0.586043,0.619357,0.462883,0.634328,0.623090,0.514214,0.543865,0.503305,0.552433,0.548924,0.468426,0.643558,0.565030,0.616221,0.662157,0.457438,0.534173,0.671462,0.553753,0.604048,0.696405,0.651644,0.668569,0.579845,0.555888,0.660871,0.623686,0.589530,0.628667,0.693708,0.736723,0.568868,0.673992,0.622066,0.587877,0.541773,0.722665,0.699427,0.652200,0.485475,0.691339,0.623992,0.576870,0.626372,0.490360,0.685858,0.600077,0.684736,0.687886,0.438830,0.546749,0.704002,0.584991,0.676737,0.607778,0.686520,0.669289,0.731424,0.573575,0.624984,0.683977,0.694483,0.471063,0.609254,0.631455,0.662246,0.640960,0.669722,0.675124,0.708647,0.678379,0.694595,0.664359,0.584471,0.634472,0.653111,0.583599,0.657977,0.596441,0.675513,0.570331,0.603769,0.717138,0.536991,0.632190,0.576107,0.691773,0.650618,0.577828,0.594867,0.656919,0.634316,0.735559,0.647002,0.600731,0.695806,0.677303,0.606062,0.560854,0.653537,0.716292,0.672808,0.631815,0.669487,0.631017,0.687377,0.665509,0.642960,0.608993,0.633417,0.656298,0.586142,0.584174,0.462659,0.701336,0.477195,0.620261,0.501983,0.592321,0.686759,0.585006,0.723541,0.683148,0.577222,0.655838,0.732512,0.587181,0.682823,0.578423,0.697136,0.557075,0.614557,0.546762,0.563588,0.611834,0.673574,0.674858,0.685543,0.715764,0.635886,0.711448,0.572681,0.571966,0.568261,0.639729,0.494733,0.602545,0.691607,0.617635,0.693146,0.706219,0.601174,0.619810,0.678204,0.655620,0.762684
